CurrentOfficial_Name,OperatorOwner_Country,Users,Orbit_Class,GEOlongitude,Perigee_km,Apogee_km,LaunchMass_kg,DryMass_kg,Power_watts,Launch_Date,ExpectedLifetime,Contractor_Country,Launch_Vehicle,GEOlatitude,Users_group,Vehicle_group,Year
Beesat-9,Germany,Civil,LEO,0.0,514.0,546.0,1.0,,,2019-07-05,,Germany,Soyuz 2.1b,0.0,Civil,Soyuz,2019
Beidou 2-12,China,Military/Government,MEO,0.0,,,,,,2012-04-28,8.0,China,Long March 3B,0.0,Dual,Long March,2012
Beidou 2-13,China,Military/Government,MEO,0.0,,,,,,2012-04-28,8.0,China,Long March 3B,0.0,Dual,Long March,2012
Beidou 2-15,China,Military/Government,MEO,0.0,,,,,,2012-09-18,8.0,China,Long March 3B,0.0,Dual,Long March,2012
Beidou 2-16,China,Military/Government,GEO,80.0,,,,,,2012-10-25,8.0,China,Long March 3C,0.0,Dual,Long March,2012
Beidou 2-17,China,Military/Government,GEO,100.3,,,,,,2016-03-30,8.0,China,Long March 3A,0.0,Dual,Long March,2016
Beidou 2-18,China,Military/Government,GEO,144.0,,,,,,2016-06-12,8.0,China,Long March 3C,0.0,Dual,Long March,2016
Beidou 3I-1S,China,Military/Government,GEO,107.48,,,,,,2015-03-30,8.0,China,Long March 3C,0.0,Dual,Long March,2015
Beidou 3I-2S,China,Military/Government,GEO,89.5,,,,,,2015-09-29,8.0,China,Long March 3B,0.0,Dual,Long March,2015
Beidou 3-M1,China,Military/Government,MEO,0.0,,,800.0,280.0,,2017-11-05,8.0,China,Long March 3B,0.0,Dual,Long March,2017
Beidou 3-23,China,Military/Government,MEO,0.0,,,800.0,280.0,,2019-09-22,8.0,China,Long March 3B,0.0,Dual,Long March,2019
Beidou 3-24,China,Military/Government,MEO,0.0,,,800.0,280.0,,2019-09-22,8.0,China,Long March 3B,0.0,Dual,Long March,2019
Beidou 3-25,China,Military/Government,MEO,0.0,,,800.0,280.0,,2017-11-05,8.0,China,Long March 3B,0.0,Dual,Long March,2017
Beidou 3M-1S,China,Military/Government,MEO,0.0,,,800.0,280.0,,2015-07-25,8.0,China,Long March 3B,0.0,Dual,Long March,2015
Beidou 3M-2S,China,Military/Government,MEO,0.0,,,800.0,280.0,,2015-07-25,8.0,China,Long March 3B,0.0,Dual,Long March,2015
Beidou 3M-3S,China,Military/Government,MEO,0.0,,,800.0,280.0,,2016-02-01,8.0,China,Long March 3C,0.0,Dual,Long March,2016
Beidou DW 26,China,Military/Government,MEO,0.0,,,800.0,280.0,,2018-01-11,8.0,China,Long March 3B,0.0,Dual,Long March,2018
Beidou DW 27,China,Military/Government,MEO,0.0,,,800.0,280.0,,2018-01-11,8.0,China,Long March 3B,0.0,Dual,Long March,2018
Beidou DW 28,China,Military/Government,MEO,0.0,,,800.0,280.0,,2018-02-12,8.0,China,Long March 3B,0.0,Dual,Long March,2018
Beidou DW 29,China,Military/Government,MEO,0.0,,,800.0,280.0,,2018-02-12,8.0,China,Long March 3B,0.0,Dual,Long March,2018
Beidou DW 30,China,Military/Government,MEO,0.0,,,800.0,280.0,,2018-03-29,8.0,China,Long March 3B,0.0,Dual,Long March,2018
Beidou DW 31,China,Military/Government,MEO,0.0,,,800.0,280.0,,2018-03-29,8.0,China,Long March 3B,0.0,Dual,Long March,2018
Beidou DW 32,China,Military/Government,GEO,110.0,,,800.0,280.0,,2018-07-09,8.0,China,Long March 3A,0.0,Dual,Long March,2018
Beidou DW 33,China,Military/Government,MEO,0.0,,,800.0,280.0,,2018-07-29,8.0,China,Long March 3B,0.0,Dual,Long March,2018
Beidou DW 34,China,Military/Government,MEO,0.0,,,800.0,280.0,,2018-07-29,8.0,China,Long March 3B,0.0,Dual,Long March,2018
Beidou DW 35,China,Military/Government,MEO,0.0,,,800.0,280.0,,2018-08-24,8.0,China,Long March 3B,0.0,Dual,Long March,2018
